日付,晴,曇,雨,雪
01.01,86.7,0.0,3.3,10.0
01.02,86.7,3.3,3.3,6.7
01.03,90.0,6.7,0.0,3.3
01.04,80.0,6.7,10.0,3.3
01.05,86.7,3.3,6.7,3.3
01.06,80.0,6.7,13.3,0.0
01.07,76.7,13.3,6.7,3.3
01.08,66.7,6.7,16.7,10.0
01.09,70.0,0.0,13.3,16.7
01.10,86.7,3.3,6.7,3.3
01.11,83.3,10.0,6.7,0.0
01.12,70.0,3.3,3.3,23.3
01.13,76.7,10.0,6.7,6.7
01.14,76.7,6.7,6.7,10.0
01.15,73.3,6.7,13.3,6.7
01.16,66.7,16.7,10.0,6.7
01.17,63.3,6.7,20.0,10.0
01.18,66.7,16.7,3.3,13.3
01.19,73.3,3.3,10.0,13.3
01.20,70.0,13.3,3.3,13.3
01.21,63.3,6.7,13.3,16.7
01.22,60.0,10.0,23.3,6.7
01.23,56.7,10.0,10.0,23.3
01.24,66.7,3.3,16.7,13.3
01.25,73.3,6.7,13.3,6.7
01.26,76.7,3.3,13.3,6.7
01.27,76.7,6.7,13.3,3.3
01.28,70.0,10.0,0.0,20.0
01.29,80.0,6.7,10.0,3.3
01.30,80.0,3.3,10.0,6.7
01.31,86.7,3.3,3.3,6.7
02.01,73.3,3.3,10.0,13.3
02.02,80.0,3.3,3.3,13.3
02.03,66.7,16.7,6.7,10.0
02.04,66.7,16.7,3.3,13.3
02.05,73.3,13.3,3.3,10.0
02.06,70.0,10.0,10.0,10.0
02.07,70.0,6.7,10.0,13.3
02.08,60.0,3.3,13.3,23.3
02.09,56.7,10.0,10.0,23.3
02.10,53.3,10.0,13.3,23.3
02.11,73.3,3.3,3.3,20.0
02.12,66.7,10.0,13.3,10.0
02.13,70.0,16.7,3.3,10.0
02.14,66.7,10.0,13.3,10.0
02.15,66.7,10.0,10.0,13.3
02.16,50.0,16.7,16.7,16.7
02.17,63.3,13.3,6.7,16.7
02.18,56.7,13.3,13.3,16.7
02.19,66.7,13.3,3.3,16.7
02.20,56.7,13.3,20.0,10.0
02.21,76.7,10.0,10.0,3.3
02.22,73.3,6.7,16.7,3.3
02.23,66.7,10.0,20.0,3.3
02.24,53.3,16.7,13.3,16.7
02.25,66.7,13.3,10.0,10.0
02.26,56.7,13.3,20.0,10.0
02.27,66.7,16.7,13.3,3.3
02.28,53.3,20.0,20.0,6.7
03.01,26.7,16.7,43.3,13.3
03.02,53.3,23.3,20.0,3.3
03.03,56.7,20.0,20.0,3.3
03.04,53.3,10.0,26.7,10.0
03.05,60.0,10.0,23.3,6.7
03.06,43.3,20.0,33.3,3.3
03.07,50.0,10.0,30.0,10.0
03.08,66.7,13.3,16.7,3.3
03.09,60.0,6.7,30.0,3.3
03.10,43.3,13.3,36.7,6.7
03.11,70.0,6.7,23.3,0.0
03.12,63.3,20.0,10.0,6.7
03.13,56.7,23.3,10.0,10.0
03.14,63.3,6.7,20.0,10.0
03.15,60.0,13.3,23.3,3.3
03.16,53.3,3.3,40.0,3.3
03.17,66.7,3.3,20.0,10.0
03.18,60.0,13.3,23.3,3.3
03.19,46.7,20.0,30.0,3.3
03.20,56.7,16.7,26.7,0.0
03.21,63.3,10.0,20.0,6.7
03.22,50.0,10.0,40.0,0.0
03.23,40.0,16.7,40.0,3.3
03.24,50.0,20.0,30.0,0.0
03.25,56.7,6.7,36.7,0.0
03.26,53.3,20.0,20.0,6.7
03.27,56.7,16.7,26.7,0.0
03.28,60.0,20.0,20.0,0.0
03.29,60.0,16.7,16.7,6.7
03.30,46.7,13.3,40.0,0.0
03.31,43.3,16.7,36.7,3.3
04.01,56.7,10.0,33.3,0.0
04.02,43.3,26.7,30.0,0.0
04.03,53.3,16.7,30.0,0.0
04.04,56.7,20.0,20.0,3.3
04.05,60.0,10.0,30.0,0.0
04.06,66.7,6.7,26.7,0.0
04.07,46.7,16.7,36.7,0.0
04.08,63.3,0.0,33.3,3.3
04.09,53.3,23.3,23.3,0.0
04.10,56.7,23.3,20.0,0.0
04.11,40.0,16.7,43.3,0.0
04.12,43.3,16.7,40.0,0.0
04.13,53.3,10.0,36.7,0.0
04.14,43.3,20.0,36.7,0.0
04.15,50.0,16.7,33.3,0.0
04.16,56.7,23.3,20.0,0.0
04.17,56.7,13.3,26.7,3.3
04.18,43.3,26.7,30.0,0.0
04.19,33.3,33.3,33.3,0.0
04.20,46.7,23.3,30.0,0.0
04.21,43.3,30.0,26.7,0.0
04.22,46.7,16.7,36.7,0.0
04.23,46.7,23.3,30.0,0.0
04.24,36.7,20.0,43.3,0.0
04.25,40.0,13.3,46.7,0.0
04.26,56.7,13.3,30.0,0.0
04.27,53.3,13.3,33.3,0.0
04.28,53.3,20.0,26.7,0.0
04.29,73.3,6.7,20.0,0.0
04.30,56.7,13.3,30.0,0.0
05.01,53.3,10.0,36.7,0.0
05.02,46.7,13.3,40.0,0.0
05.03,40.0,30.0,30.0,0.0
05.04,50.0,23.3,26.7,0.0
05.05,56.7,23.3,20.0,0.0
05.06,56.7,20.0,23.3,0.0
05.07,60.0,16.7,23.3,0.0
05.08,53.3,23.3,23.3,0.0
05.09,36.7,20.0,43.3,0.0
05.10,43.3,13.3,43.3,0.0
05.11,43.3,16.7,40.0,0.0
05.12,40.0,16.7,43.3,0.0
05.13,33.3,30.0,36.7,0.0
05.14,46.7,30.0,23.3,0.0
05.15,46.7,20.0,33.3,0.0
05.16,40.0,30.0,30.0,0.0
05.17,43.3,30.0,26.7,0.0
05.18,43.3,23.3,33.3,0.0
05.19,46.7,16.7,36.7,0.0
05.20,36.7,26.7,36.7,0.0
05.21,63.3,16.7,20.0,0.0
05.22,46.7,16.7,36.7,0.0
05.23,40.0,26.7,33.3,0.0
05.24,33.3,16.7,50.0,0.0
05.25,50.0,26.7,23.3,0.0
05.26,43.3,30.0,26.7,0.0
05.27,40.0,13.3,46.7,0.0
05.28,40.0,30.0,30.0,0.0
05.29,40.0,33.3,26.7,0.0
05.30,43.3,20.0,36.7,0.0
05.31,26.7,40.0,33.3,0.0
06.01,46.7,23.3,30.0,0.0
06.02,56.7,26.7,16.7,0.0
06.03,50.0,26.7,23.3,0.0
06.04,46.7,36.7,16.7,0.0
06.05,43.3,26.7,30.0,0.0
06.06,40.0,20.0,40.0,0.0
06.07,40.0,33.3,26.7,0.0
06.08,36.7,43.3,20.0,0.0
06.09,10.0,36.7,53.3,0.0
06.10,16.7,40.0,43.3,0.0
06.11,10.0,36.7,53.3,0.0
06.12,20.0,46.7,33.3,0.0
06.13,26.7,20.0,53.3,0.0
06.14,26.7,23.3,50.0,0.0
06.15,26.7,40.0,33.3,0.0
06.16,33.3,23.3,43.3,0.0
06.17,30.0,46.7,23.3,0.0
06.18,13.3,46.7,40.0,0.0
06.19,30.0,23.3,46.7,0.0
06.20,20.0,40.0,40.0,0.0
06.21,16.7,30.0,53.3,0.0
06.22,30.0,23.3,46.7,0.0
06.23,10.0,40.0,50.0,0.0
